Account Name,Domain,Industry Category,Score,Funding Stage/Recent Signal,Reason for Inclusion,Specific Pain Point / Trigger,Strategic Alignment,Budget Signal
Ashby,ashbyhq.com,Recruiting/HR Tech,10,Series D ($50M Jul 2025),"All-in-one recruiting platform, 2X'd customer base to 2,700 companies (OpenAI, Shopify, Ramp), 135% ARR growth, distributed team with high travel needs","Scaling to 2,700 customers globally = field sales, CS, implementation teams traveling for onboarding/support. Distributed workforce needs travel policy.","Perfect fit for Itilite's recruiting vertical (THS case study). Fast-growing SaaS with enterprise customers needing travel compliance.","$50M Series D, 135% ARR growth, 2,700 customers"
Nursa,nursa.com,Healthcare Staffing,9,Series B ($80M Aug 2023),"Healthcare staffing platform, 500K+ nurses, expanding C-suite to address staffing shortage, per diem nursing recruiting nationwide","Healthcare staffing = constant field recruiting, nurse interviews, hospital site visits. Rapid expansion = executive travel surge.","Fits Itilite's staffing vertical (THS case study) + healthcare focus (Build Health, GenWorks cases). Travel-intensive business model.","$80M Series B, 500K+ nurses, C-suite expansion"
Gem,gem.com,Recruiting Tech,9,Series C ($100M 2021),"Recruiting software with 2,700+ customers (Slack, Wayfair, Doordash), talent engagement platform, distributed team","Recruiting platform serving 2,700+ enterprise customers = onboarding travel, CS visits, conference presence (HR Tech events)","Recruiting vertical match (THS case study), enterprise customer base needs travel management for client success teams","2,700+ customers including enterprise"
Oyster,oysterhr.com,HR Tech - Global Employment,10,Series D ($59M Sep 2024),"Global employment platform, $1.2B valuation, distributed workforce management across 180+ countries","Global platform for distributed teams = constant international travel for partnerships, sales expansion, customer implementations.","HR Tech with massive international footprint. 180 countries = complex travel needs. Series D growth mode = scaling teams.","$59M Series D, $1.2B valuation, 180+ countries"
Remofirst,remofirst.com,HR Tech - EOR,9,Series A ($25M Mar 2024),"Employer of record competing with Deel/Rippling, $25M Series A led by Octopus Ventures, expanding global hiring services","Launching EOR services globally = partnership travel, compliance meetings, sales teams opening new markets.","HR Tech + international expansion. Competing in global employment space = travel for market entry, partnerships.","$25M Series A, global expansion mode"
Stepful,stepful.com,Healthcare Training,9,Series B ($31.5M Nov 2024),"AI-powered healthcare training (medical assistants, pharmacy techs), $31.5M Series B led by Oak HC/FT, <9 months after Series A","Healthcare training platform = field teams visiting partner clinics/hospitals, recruiting students, employer partnerships.","Healthcare vertical fit. Training model = travel for partnerships with hospitals, clinics, employers. Fast growth (Series B <9mo after A).","$31.5M Series B, rapid growth trajectory"
Clipboard Health,clipboardhealth.com,Healthcare Staffing,8,Series C ($80M 2022),"Healthcare staffing marketplace, $1.3B valuation, 500K+ healthcare workers, rapid facility network expansion","Staffing marketplace expanding to new markets = BD teams traveling to sign up facilities, operations teams for compliance visits.","Healthcare staffing vertical (Nursa competitor). Marketplace model = travel for facility partnerships, market launches.","$1.3B valuation, 500K+ workers, expansion"
NextGen Healthcare,nextgen.com,Healthcare Technology,8,Scaled to 2000+ employees,"Healthcare software/services company, 2,000+ employees worldwide, EHR and practice management solutions","Healthcare IT = field implementations, provider training, support teams visiting clinics/hospitals. 2K employees = significant travel volume.","Healthcare vertical match (GenWorks, HealthifyMe cases). Travel-intensive implementation model for healthcare software.","2,000+ employees, healthcare IT leader"
FTI Consulting,fticonsulting.com,Management Consulting,9,Expansion (4 London hires Dec 2025),"$3.7B revenue consulting firm, appointed 4 senior London hires Dec 2025, expanding PE and financial services practices","Consulting = 60%+ time on client sites. London expansion + PE focus = international travel, US-UK teams collaborating.","Professional services vertical (not Big 4 = less obvious). PE advisory = travel-intensive, expansion = growing travel needs.","$3.7B revenue, strategic hiring expansion"
Grant Thornton,grantthornton.com,Advisory/Consulting,9,Acquired Stax (300 people 2025),"Acquired Stax consulting (300 team members), majority stake by New Mountain Capital, 600+ PE relationships","Stax acquisition = integrating 300 consultants, expanding PE advisory services, 600+ PE relationships = constant client travel.","Professional services, not Big 4. PE advisory = travel-intensive model, acquisition integration = temporary travel surge.","Stax acquisition, 600+ PE relationships"
