Account Name,Domain,Industry Category,Score,Funding Stage/Recent Funding,Reason for Inclusion,Specific Pain Point / Trigger,Strategic Alignment,Budget Signal
Monroe Capital,monroecap.com,Private Credit,10,Mature ($20.3B AUM),"45+ separate vehicles (direct lending, venture debt, BDCs, CLOs) - extreme multi-fund complexity matching Maybern's ICP","Managing 45+ vehicles with different reporting cadences, waterfall structures, and compliance requirements - likely coordinating multiple fund administrators","Perfect match: Multi-vehicle credit platform with closed-end and liquid structures, named 2024 Lower Mid-Market Lender of Year","$20.3B AUM, 200+ employees, consistent new fund launches, active hiring for Fund Ops/Accounting"
TCV,tcv.com,Venture Capital / Growth,10,Mature ($19.88B AUM),"519 employees across 4 global offices, 350+ investments, public-private crossover strategy requires complex operations","Public-private crossover investing creates dual operational burden (private fund accounting + public equity positions), 4 office global coordination","Multi-geography operations, 150+ IPOs supported = massive historical data management, stage complexity across late private/pre-IPO/public","$19.88B AUM, 519 employees, raised $23B+ cumulative, 4 office locations (Menlo Park, NY, London, Melbourne)"
Vistria Group,vistriagroup.com,Multi-Strategy Private Equity,10,Growth Stage ($12.9B AUM),"Multi-sector PE (healthcare, financial services, housing) in highly regulated industries, Chicago-based like Maybern's Midwest customer profile","3 distinct sectors with different regulatory requirements and compliance needs, essential industries = complex reporting, founded 2013 = operational growing pains","Perfect Midwest fit (Chicago), same profile as Maybern case study customer, multi-sector = operational complexity","$12.9B AUM, founded 2013 (rapid growth phase), multiple fund strategies, regulated sectors"
TPG Growth,tpg.com,Growth Equity,10,Large Platform ($15.4B within $261B parent),"$15.4B dedicated growth division within TPG's $261B platform, 400+ employees, growth equity has different ops cadence than buyout PE","Separate brand suggests operational independence but may be using enterprise systems that don't fit growth workflows, large growth portfolio needs active monitoring","Part of mega-platform but growth division needs specialized tools, high-growth sectors (tech, consumer, healthcare) require different approach","$15.4B dedicated growth AUM, 400+ employees, part of $261B TPG platform"
Patient Square Capital,patientsquarecapital.com,Healthcare Private Equity,10,Hypergrowth (Founded 2020),Founded 2020 and already at $13B - fastest scaling healthcare PE firm,"Healthcare PE requires specialized compliance (HIPAA, regulatory approvals), complex deal structures (earn-outs, contingent payments), likely built ops quickly and now need to professionalize","Healthcare M&A = complex tracking requirements, hypergrowth = operations haven't caught up, young firm = greenfield opportunity","Founded 2020, $13B by 2024 = $3.25B/year growth rate, healthcare specialization"
Riverside Company,riversidecompany.com,Middle Market Private Equity,10,Mature ($13B AUM),"Lower middle market focus = HIGH deal volume, 400+ employees, operating since 1988 = 35+ years of historical fund data","High volume of smaller deals vs few large deals = operational burden, managing 10+ fund generations with 35+ years of data","One of oldest middle market firms = massive historical data challenge, 400 employees = coordination complexity, deal volume = operations strain","$13B AUM, 400+ employees, 35+ years operating (since 1988), lower middle market = high deal count"
Artemis Real Estate Partners,artemisrep.com,Real Estate Investment,10,Multi-Strategy ($12B AUM),"Multi-strategy real estate (core, core+, value-add, opportunistic) + equity AND debt funds, 4 office locations","4 different risk profiles with different return expectations and waterfall calculations, property-level accounting, capital calls for construction, mezzanine positions","Real estate debt + equity = different accounting treatment, multi-office (DC, NY, LA, Atlanta) coordination, complex waterfall structures","$12B raised across multiple strategies, 4 offices nationwide, both equity and debt vehicles"
Brinley Partners,brinleypartners.com,Private Credit,10,Hypergrowth (Founded 2021),"Founded 2021 and already at $9.8B in 4 years - fastest growing firm on list, founded by veterans who sold $15B CLO business to Carlyle","Spin-out team likely rebuilt operations from scratch, private credit requires detailed loan-level tracking and covenant compliance, young firm still building infrastructure","Hypergrowth = operations racing to catch up, greenfield opportunity to implement Maybern from day one, proven team with scale experience","$9.8B AUM in 4 years = $2.45B/year growth, founded 2021, spin-out from major platform"
Deerpath Capital,deerpathcapital.com,Private Credit,10,Mature ($9B AUM),"Founded 2007, lower middle market cash-flow lending, Chicago-based like Maybern's existing customer base","High volume of smaller loans vs few large loans, cash-flow based lending requires detailed financial modeling and monitoring, 17+ years of historical fund vintages","Chicago location = same market as Maybern case study customer, lower middle market = high deal volume operational burden","$9B AUM, founded 2007 (17 years of funds to manage), Chicago-based, senior debt focus"
Abry Partners,abry.com,Sector-Focused Private Equity,10,Mature ($15B AUM),"Founded 1989 (35+ years), multi-sector focus (media, communications, business services, information), Boston + London offices","35 years of historical fund data across multiple generations, 4 distinct sector strategies, international operations = multi-currency/jurisdiction complexity","Legacy firm with massive historical data migration challenge, multi-sector = operational complexity, international = regulatory burden","$15B AUM, founded 1989 (35+ years operating), Boston + London offices, multi-sector focus"
Bessemer Venture Partners,bvp.com,Venture Capital,9,Large Platform ($19.66B AUM),"425 employees across 5 continents, 300+ portfolio companies, 145+ IPOs, ranked 3rd largest VC by 5-year fundraising","Global coordination across Tel Aviv, Silicon Valley, SF, NY, London, Boston, Bangalore - 7 office locations, 300+ active portfolio companies","Massive global footprint = coordination complexity, 145+ IPOs = significant historical data, multi-stage investing (early to growth)","$19.66B AUM, 425 employees, 7 global offices, 145+ IPOs, founded 1911"
Accel,accel.com,Venture Capital,9,Large Platform ($19.1B AUM),"1,075 employees across 6 continents, recently raised $650M India/SEA fund (Jan 2025), Palo Alto + SF + London + India offices","Just raised new $650M regional fund = operational setup needed, multi-geography = different regulatory environments, 1,075 employees = significant coordination","Recent fund launch (Jan 2025) = implementation window, global presence = complex operations, large team = systems needed","$19.1B AUM, 1,075 employees, just raised $650M India/SEA fund Jan 2025, 4+ office locations"
OrbiMed,orbimed.com,Healthcare Venture Capital,9,Mature ($18.28B AUM),"Healthcare-focused with 250+ employees, biopharmaceuticals and medical devices focus, NYC-based","Healthcare VC = complex regulatory tracking (FDA approvals, clinical trials), specialized compliance requirements, long deal cycles with milestone tracking","Healthcare specialization = unique operational requirements, biotech/medtech = complex milestone and contingent payment tracking","$18.28B AUM, 250+ employees, healthcare specialization with regulatory complexity"
Battery Ventures,battery.com,Technology Venture Capital,9,Mature ($16.84B AUM),"300+ employees, raised $13B+ since inception (1983), tech and life sciences focus, Boston-based","Multi-stage tech investing (early to growth), 40+ years of historical data, life sciences + software = different operational approaches","Founded 1983 = 40+ years of fund data, $13B+ raised = multiple fund generations, tech + life sciences = operational diversity","$16.84B AUM, 300+ employees, founded 1983, $13B+ raised cumulative"
Khosla Ventures,khosla.com,Venture Capital,8,Mature ($15B AUM),"$15B AUM, Menlo Park-based, multi-sector focus (AI, software, energy, agriculture, medical, fintech, advanced materials)","Broad sector coverage (7+ distinct sectors) = operational complexity, different sectors have different tracking needs and metrics","Extreme sector diversity = complex portfolio management, technology + energy + healthcare = very different operational requirements","$15B AUM, 150+ employees, Menlo Park-based, 7+ sector focus areas"
Deerfield Management,deerfieldmanagement.com,Healthcare Private Equity/VC,8,Mature ($15.06B AUM),"Healthcare-focused, $15.06B AUM, NYC-based, biopharmaceuticals and medical devices","Healthcare specialization = FDA milestone tracking, clinical trial monitoring, regulatory compliance, royalty structures","Healthcare PE/VC = complex deal structures with earn-outs and milestones, biotech = long-term performance tracking","$15.06B AUM, 200+ employees, healthcare focus with regulatory complexity"
Energy & Minerals Group,emg.com,Energy/Infrastructure PE,8,Specialized ($13B AUM),"Natural resources and energy infrastructure specialist, Houston-based, $13B AUM, founded 2006","Energy infrastructure = complex project finance, asset-level accounting, commodity exposure tracking, specialized reporting","Sector specialization = unique operational requirements, energy = commodity hedging and project finance complexity","$13B AUM, 150+ employees, Houston-based, founded 2006, energy/infrastructure specialization"
