Account Name,Domain,Score,Tier,Reason for Inclusion,Pain Points,Budget Signal
Brex,brex.com,10,1,"Secured EU Payment Institution license in Aug 2025, expanding to all 30 EU countries. Planning UK expansion. Previously could only serve companies with US presence—now need to localize for European markets ASAP.","Scaling to 30 new countries simultaneously, need multilingual compliance docs, customer support in local languages","Eyes $500M revenue, IPO prep, dozen team members in Europe"
Canva,canva.com,10,1,"220M users in 100+ languages across 190 countries. Added 700K+ templates for non-English languages in 2024. Expanding AI to 16 languages. Deepening focus on India, Indonesia, Brazil in 2025.","Managing content at massive scale (2.3M local elements added in 6 months), maintaining brand consistency across 100+ languages","Massive scale, enterprise customers, ongoing localization partnership with RWS"
Rippling,rippling.com,10,1,"DOUBLED EOR footprint from 40 to 80 countries in 2024-2025. Added native payroll in India, Singapore, Australia. 20K+ customers need global HR docs, compliance materials.","Localized compliance content for 80 countries, native payroll documentation, employee onboarding materials in local languages","$32B valuation (Nov 2025), rapid expansion"
Notion,notion.so,9,1,"100M users globally, 50%+ of Fortune 500 use it. Opened UK, Paris, Munich offices in 2024-2025. Launched localized Japanese product. EMEA has tens of millions of users.","Product localization beyond Japanese, European market templates/content, adapting to regional business practices","$10B+ valuation, aggressive EMEA hiring"
Klaviyo,klaviyo.com,9,1,"42% YoY international growth (Q1 2025). 34% of revenue from EMEA/APAC. Expanded to 7 languages, SMS in 19 countries. New co-CEO focused on global enterprise scaling.","Scaling marketing automation content across 7 languages, SMS compliance content for 19 markets, enterprise customer onboarding","$293M quarterly revenue, public company, Dublin office opening"
Faire,faire.com,9,1,"Expanded to 35 markets in 2025, adding New Zealand + 14 European countries. Europe growing 2x faster than North America. 100K brands, 700K retailers need multilingual marketplace.","Marketplace localization for 35 countries, seller/buyer communications in local languages, product descriptions at scale","European retailers spent $500M to date, 2M+ orders fulfilled"
Figma,figma.com,8,2,"85% of users outside US, 50% revenue from non-US markets. Localized for Spanish market in 2024, Japan before that. Planning additional languages throughout the year.","Product localization for design tool (UI-heavy), culturally adapted interfaces, community content translation","Adobe acquisition fell through, still valued at $20B"
Plaid,plaid.com,8,2,"Operating in 20 countries, strong transatlantic expansion focus. Seeing renewed interest in US↔Europe expansion. 500M consumer accounts worldwide, 12K+ financial institutions.","Financial compliance documentation across 20 countries, developer documentation for global API users, regulatory content","$400M secondary raise expected, IPO prep"
Gusto,gusto.com,8,2,"Launched Gusto Global (EOR) in 2025 for 120+ countries via Remote partnership. Started with Canada, India, Philippines. $500M ARR milestone.","HR/payroll content for 120 countries, employee onboarding materials, compliance docs, benefits explanations","$500M ARR, 33% growth rate, pricing at $599/employee/month"
Attentive,attentive.com,8,2,"UK/Australia revenue grew 125% YoY in 2024. $500M ARR reached. Delivers messages to 20+ countries. Actively expanding internationally.","SMS marketing compliance content for 20+ countries, customer success materials for UK/AU markets, product localization","$500M ARR, expanding international teams"
Beehiiv,beehiiv.com,7,2,"140K newsletters (60%+ growth in 2025), $28M revenue nearly doubled. Competing with Substack internationally. Creator economy is global.","Platform localization for newsletter creators worldwide, help docs in multiple languages, creator onboarding content","$225M valuation, $12.5M Series A, revenue momentum"
Substack,substack.com,7,2,"5M paid subscriptions (67% YoY growth). International growth listed as top priority. Sportswriters and content expanding globally.","Writer/creator platform localization, payment/subscription content for global markets, discovery/recommendation content","$1.1B valuation, prioritizing international expansion"
Contentful,contentful.com,7,3,"Headless CMS for international digital properties. Enterprise customers managing multilingual content at scale. 78% conversion boost, 10x content production for customers.","Help customers manage translations better, own product localization, enterprise customer support globally","Enterprise-focused, headless CMS market growing to $3B by 2030"
Webflow,webflow.com,7,3,"Offers localization tools, integrates with Smartling/Lokalise/Phrase. But likely needs internal localization for product/marketing as they expand globally.","Product UI localization, template marketplace in multiple languages, customer education content","High-growth no-code platform, enterprise tier"
Retool,retool.com,6,3,"10K+ companies worldwide including Amazon, Stripe, Brex. Developer tool expanding to enterprises globally.","Developer documentation translation, product localization for international dev teams, enterprise customer content","Enterprise customers, developer-focused (fits Smartling's dev-friendly positioning)"
Calendly,calendly.com,6,3,"$3B valuation, 20M+ users, 86% of Fortune 500 use it. Global user base but limited localization info found.","Scheduling across timezones/cultures, enterprise customer support globally, product localization","$3B valuation, 100K+ businesses"
Gorgias,gorgias.com,6,3,"40% of top 250 Shopify stores use it. Supports multi-brand and multi-language. E-commerce focused, merchants expanding globally.","Customer support content for e-commerce brands in multiple markets, help center localization, agent training content","E-commerce SaaS boom, Shopify ecosystem growth"
Miro,miro.com,6,3,"Collaboration platform with global user base. Used by enterprise customers across multiple countries.","Product localization for collaboration tool, template marketplace, enterprise customer success globally","High-growth collaboration space, enterprise customers"
Airtable,airtable.com,6,3,"Low-code database platform with global enterprise customers. Likely expanding product internationally.","Product localization, template marketplace in multiple languages, enterprise documentation","$11B valuation (last reported), enterprise growth"
Lattice,lattice.com,6,3,"Expanded to Europe in 2021 with £110M UK investment. 5K+ organizations worldwide. 400+ international customers = 12%+ of revenue.","HR performance management content across cultures, European market localization, customer success materials","$127M revenue, actively building international HRIS features"
Supabase,supabase.com,6,4,"Open-source Firebase alternative running in 16 AWS regions globally. Developer platform with international user base.","Developer documentation translation, community content, dashboard localization for global dev teams","High-growth developer platform, enterprise tier launching"
Vercel,vercel.com,6,4,"Global CDN, frontend platform with worldwide developer users. International infrastructure requires global content.","Developer docs in multiple languages, dashboard localization, enterprise customer support globally","Enterprise customers, AWS partnership"
Linear,linear.app,5,4,"Project management for tech teams globally. Clean, developer-focused tool likely expanding internationally with customer base.","Product localization for development teams, documentation for global engineering orgs","High-growth developer tool, enterprise adoption"
ClickUp,clickup.com,5,4,"All-in-one project management with global user base. Multilingual semantic AI search launched in Fall 2025 shows localization priority.","Product localization for project management, template marketplace, AI features across languages","Affordable pricing ($7/user), high user volume, AI investment"
