Number,Company,Industry,Segment,Location,Why They Fit,Estimated Insurance Spend,Decision Maker Titles,Clay Lookup Keywords
1,BrightView Holdings,Landscaping,Construction/Trades,"Pennsylvania (HQ), Nationwide","Largest US landscaping company, $2.8B revenue, 21K employees, high liability exposure",High ($1M+),"CFO, VP Risk Management, General Counsel",landscaping BrightView Holdings
2,The Davey Tree Expert Company,Tree Service,Construction/Trades,"Ohio (HQ), Nationwide","2nd largest landscaping, $1.7B revenue, employee-owned, tree care = high liability",High ($500K+),"CFO, Risk Manager, VP Operations",tree service Davey Tree
3,Bartlett Tree Experts,Tree Service,Construction/Trades,"Connecticut (HQ), Nationwide","Major tree care company, high-risk work (climbing, equipment)",Medium-High ($200K+),"CFO, Director of Operations",tree service Bartlett
4,TruGreen,Lawn Care,Construction/Trades,"Tennessee (HQ), Nationwide","Largest lawn care company, fleet vehicles, chemical applications",High ($500K+),"CFO, VP Risk, General Counsel",lawn care TruGreen
5,Mariani Landscape,Landscaping,Construction/Trades,"Illinois (HQ), Nationwide","PE-backed roll-up, 2400+ employees, 15 acquisitions",Medium-High ($300K+),"CFO, VP Operations",landscaping Mariani PE-backed
6,Comfort Systems USA,HVAC,Construction/Trades,"Texas (HQ), Nationwide","Public company, $5B+ revenue, HVAC services, high workers comp exposure",High ($1M+),"CFO, General Counsel, VP Risk",HVAC Comfort Systems USA public
7,EMCOR Group,HVAC/Mechanical,Construction/Trades,"Connecticut (HQ), Nationwide","$14B revenue, mechanical/electrical services, Fortune 500",Very High ($2M+),"CFO, Chief Risk Officer, General Counsel",HVAC mechanical EMCOR Group
8,Service Experts,HVAC,Construction/Trades,"Texas (HQ), Nationwide","Major HVAC service company, residential/commercial, fleet",High ($500K+),"CFO, VP Operations",HVAC Service Experts
9,Knight-Swift Transportation,Trucking,Auto & Trucking Fleets,"Arizona (HQ), Nationwide","2nd largest truckload carrier, 23K tractors, 77K trailers, 35K employees",Very High ($5M+),"CFO, VP Risk Management, General Counsel",trucking Knight-Swift fleet
10,Schneider National,Trucking,Auto & Trucking Fleets,"Wisconsin (HQ), Nationwide","3rd largest truckload carrier, public company, massive fleet",Very High ($5M+),"CFO, Chief Risk Officer",trucking Schneider National public
11,Werner Enterprises,Trucking,Auto & Trucking Fleets,"Nebraska (HQ), Nationwide","Major trucking company, 8K+ trucks, public company",Very High ($3M+),"CFO, VP Risk Management",trucking Werner Enterprises
12,Heartland Express,Trucking,Auto & Trucking Fleets,"Iowa (HQ), Nationwide","Top 20 trucking company, short-haul specialist",High ($1M+),"CFO, Director of Safety/Risk",trucking Heartland Express
13,Saia Inc,Trucking/LTL,Auto & Trucking Fleets,"Georgia (HQ), Nationwide","LTL carrier, public company, growing rapidly",High ($2M+),"CFO, VP Risk",trucking LTL Saia
14,MCR Hotels,Hotel Ownership,Hotel Owners,"New York (HQ), Nationwide","3rd largest hotel owner in US, 25K rooms, acquired Soho House",Very High ($5M+),"CFO, General Counsel, VP Risk",hotel owner MCR Hotels
15,Ashford Hospitality Trust,Hotel REIT,Hotel Owners/Property Portfolios,"Texas (HQ), Nationwide","Hotel REIT, 100+ properties, public company",Very High ($3M+),"CFO, Chief Risk Officer",hotel REIT Ashford Hospitality
16,Park Hotels & Resorts,Hotel REIT,Hotel Owners/Property Portfolios,"Virginia (HQ), Nationwide","Hotel REIT, premium properties, public company",Very High ($3M+),"CFO, General Counsel",hotel REIT Park Hotels
17,Pebblebrook Hotel Trust,Hotel REIT,Hotel Owners/Property Portfolios,"Maryland (HQ), Nationwide","Hotel REIT, urban markets, public company",High ($2M+),"CFO, VP Risk Management",hotel REIT Pebblebrook
18,Cracker Barrel,Restaurant,Hospitality Groups,"Tennessee (HQ), Nationwide","650+ locations, public company, full-service dining",Very High ($3M+),"CFO, General Counsel, VP Risk",restaurant Cracker Barrel public
19,Bloomin Brands,Restaurant Group,Hospitality Groups,"Florida (HQ), Nationwide","Outback Steakhouse parent, 1400+ restaurants, public",Very High ($5M+),"CFO, Chief Risk Officer",restaurant Bloomin Brands Outback
20,Dine Brands,Restaurant Group,Hospitality Groups,"California (HQ), Nationwide","Applebees/IHOP parent, 3300+ restaurants, public",Very High ($5M+),"CFO, General Counsel",restaurant Dine Brands Applebees IHOP
21,Focus Brands,Restaurant Group,Hospitality Groups,"Georgia (HQ), Nationwide","Jamba, Auntie Annes, Cinnabon parent, PE-owned (Roark)",Very High ($3M+),"CFO, VP Risk Management",restaurant Focus Brands Roark PE
22,Inspire Brands,Restaurant Group,Hospitality Groups,"Georgia (HQ), Nationwide","Arbys, Buffalo Wild Wings, Dunkin parent, PE-owned (Roark)",Very High ($10M+),"CFO, Chief Risk Officer",restaurant Inspire Brands Roark PE
23,FAT Brands,Restaurant Group,Hospitality Groups,"California (HQ), Nationwide","Fatburger, Johnny Rockets, Round Table parent, public, aggressive acquirer",High ($2M+),"CFO, General Counsel",restaurant FAT Brands acquisitions
24,Shipley Do-Nuts,Restaurant/QSR,Hospitality Groups (PE Roll-up),"Texas (HQ), Regional","375+ locations, PE-backed (LLCP), 18 consecutive quarters growth",Medium-High ($500K+),"CFO, VP Operations",restaurant Shipley Donuts PE LLCP
25,Hissho Sushi,Restaurant,Hospitality Groups,"North Carolina (HQ), Nationwide","PE-backed sushi concept, grocery store locations, scaling fast",Medium ($200K+),"CFO, Director of Operations",restaurant Hissho Sushi PE-backed
26,Chopt,Restaurant/Fast Casual,Hospitality Groups,"New York (HQ), East Coast","Fast casual salads, 80+ locations, venture-backed",Medium ($300K+),"CFO, VP Operations",restaurant Chopt salads
27,Sweetgreen,Restaurant/Fast Casual,Hospitality Groups,"California (HQ), Nationwide","Public company, 200+ locations, high-growth",High ($1M+),"CFO, General Counsel",restaurant Sweetgreen public
28,Portillos,Restaurant/QSR,Hospitality Groups,"Illinois (HQ), Midwest/Expanding","Public company, 80+ locations, iconic Chicago brand expanding",High ($1M+),"CFO, VP Risk",restaurant Portillos public Chicago
29,HCA Healthcare,Healthcare,Healthcare Practices,"Tennessee (HQ), Nationwide","219 hospitals, 300K employees, massive insurance needs",Very High ($50M+),"Chief Risk Officer, VP Insurance, General Counsel",healthcare HCA hospitals
30,Tenet Healthcare,Healthcare,Healthcare Practices,"Texas (HQ), Nationwide","60+ hospitals, public company, major health system",Very High ($20M+),"Chief Risk Officer, General Counsel",healthcare Tenet hospitals
31,Community Health Systems,Healthcare,Healthcare Practices,"Tennessee (HQ), Nationwide","70+ hospitals, public company",Very High ($15M+),"CFO, Chief Risk Officer",healthcare Community Health Systems
32,US Physical Therapy,Healthcare,Healthcare Practices (PE Roll-up),"Texas (HQ), Nationwide","600+ clinics, public company, PT roll-up",High ($3M+),"CFO, VP Risk Management",healthcare PT clinics US Physical Therapy
33,ATI Physical Therapy,Healthcare,Healthcare Practices,"Illinois (HQ), Nationwide","900+ clinics, PE-backed, major PT chain",High ($3M+),"CFO, General Counsel",healthcare PT clinics ATI
34,Aspen Dental,Healthcare,Healthcare Practices (PE Roll-up),"New York (HQ), Nationwide","1000+ offices, PE-backed (TAG - The Aspen Group), dental roll-up",Very High ($5M+),"CFO, Chief Risk Officer",dental Aspen Dental PE TAG
35,Heartland Dental,Healthcare,Healthcare Practices (PE Roll-up),"Illinois (HQ), Nationwide","1700+ offices, PE-backed (KKR), largest dental support org",Very High ($10M+),"CFO, VP Risk, General Counsel",dental Heartland Dental PE KKR
36,Southern Veterinary Partners,Healthcare,Healthcare Practices (PE Roll-up),"Alabama (HQ), Southeast","400+ vet clinics, PE-backed, aggressive roll-up",High ($2M+),"CFO, VP Operations",veterinary Southern Veterinary Partners PE
37,United Veterinary Care,Healthcare,Healthcare Practices (PE Roll-up),"Florida (HQ), Nationwide","PE-backed vet roll-up, growing fast",Medium-High ($1M+),"CFO, Director of Operations",veterinary United Veterinary Care PE
38,Goodwill Industries,Non-Profit,Large Non-Profits,"Nationwide","$7B+ revenue across affiliates, retail + workforce development",Very High ($10M+),"CFO, VP Risk Management",nonprofit Goodwill Industries
39,Salvation Army,Non-Profit,Large Non-Profits,"Nationwide","$4B+ revenue, massive real estate + vehicle fleet",Very High ($10M+),"CFO, Director of Risk",nonprofit Salvation Army
40,YMCA of the USA,Non-Profit,Large Non-Profits,"Nationwide","2600+ locations, pools/gyms = high liability",Very High ($15M+),"CFO, Chief Risk Officer",nonprofit YMCA
41,Boys & Girls Clubs,Non-Profit,Large Non-Profits,"Nationwide","4700+ clubs, youth programs = specific insurance needs",Very High ($10M+),"CFO, VP Risk Management",nonprofit Boys Girls Clubs
42,Habitat for Humanity,Non-Profit,Large Non-Profits,"Georgia (HQ), Nationwide","Construction activities, volunteers, high workers comp exposure",High ($5M+),"CFO, Director of Risk",nonprofit Habitat Humanity construction
43,KIPP Foundation,Non-Profit/Schools,Schools,"Nationwide","280 schools, 175K students, charter school network",High ($3M+),"CFO, General Counsel",charter schools KIPP Foundation
44,Uncommon Schools,Non-Profit/Schools,Schools,"New York (HQ), Northeast","55 schools, charter network",Medium-High ($1M+),"CFO, VP Operations",charter schools Uncommon Schools
45,BASIS Educational Group,Schools,Schools,"Arizona (HQ), Nationwide","40+ charter schools, high-performing network",Medium-High ($1M+),"CFO, Director of Operations",charter schools BASIS
46,Continental Resources,Oil & Gas,Oil & Gas,"Oklahoma (HQ), Nationwide","Major oil producer, Harold Hamm company",Very High ($20M+),"CFO, VP Risk Management, General Counsel",oil gas Continental Resources Hamm
47,Diamondback Energy,Oil & Gas,Oil & Gas,"Texas (HQ), Permian","Public company, Permian Basin focus, growing",Very High ($10M+),"CFO, Chief Risk Officer",oil gas Diamondback Energy Permian
48,EOG Resources,Oil & Gas,Oil & Gas,"Texas (HQ), Nationwide","Public company, major independent producer",Very High ($15M+),"CFO, VP Risk",oil gas EOG Resources
49,Civitas Resources,Oil & Gas,Oil & Gas,"Colorado (HQ), Rockies","Public company, DJ Basin focus",High ($5M+),"CFO, General Counsel",oil gas Civitas Resources
50,Liquid Death,CPG,CPG Brands (>$25M),"California (HQ), Nationwide","$1.4B valuation, canned water, fast-growing DTC/retail",High ($1M+),"CFO, VP Operations",CPG Liquid Death beverage
51,Athletic Greens (AG1),CPG,CPG Brands (>$25M),"California (HQ), Nationwide","$1.2B valuation, supplements, DTC + retail expansion",High ($1M+),"CFO, VP Finance",CPG Athletic Greens AG1 supplements
52,Olipop,CPG,CPG Brands (>$25M),"California (HQ), Nationwide","$200M+ revenue, healthy soda, fast growth",Medium-High ($500K+),"CFO, VP Operations",CPG Olipop soda beverage
53,Chomps,CPG,CPG Brands (>$25M),"Illinois (HQ), Nationwide","$300M+ revenue, meat snacks, Whole30 approved",Medium-High ($500K+),"CFO, Director of Finance",CPG Chomps snacks
54,Siete Foods,CPG,CPG Brands (>$25M),"Texas (HQ), Nationwide","Acquired by PepsiCo for $1.2B, Mexican-American food",High (now PepsiCo),"CFO, VP Operations",CPG Siete Foods PepsiCo
55,Nucor Corporation,Manufacturing,US Manufacturers,"North Carolina (HQ), Nationwide","Largest US steel producer, $40B revenue, public",Very High ($20M+),"CFO, Chief Risk Officer",manufacturing steel Nucor
56,Illinois Tool Works,Manufacturing,US Manufacturers,"Illinois (HQ), Nationwide","Diversified manufacturer, $16B revenue, Fortune 200",Very High ($15M+),"CFO, VP Risk Management",manufacturing Illinois Tool Works ITW
57,Parker Hannifin,Manufacturing,US Manufacturers,"Ohio (HQ), Nationwide","Motion/control tech, $19B revenue, Fortune 250",Very High ($15M+),"CFO, Chief Risk Officer",manufacturing Parker Hannifin
58,Graco Inc,Manufacturing,US Manufacturers,"Minnesota (HQ), Nationwide","Fluid handling equipment, $2B revenue, public",High ($3M+),"CFO, VP Risk",manufacturing Graco fluid equipment
59,Lincoln Electric,Manufacturing,US Manufacturers,"Ohio (HQ), Nationwide","Welding equipment, $4B revenue, public",High ($5M+),"CFO, General Counsel",manufacturing Lincoln Electric welding
