domain,company_name,city,state,linkedin_company_url
carawayhome.com,Caraway Home,New York,NY,https://www.linkedin.com/company/carawayhome/
hexclad.com,HexClad Cookware,Los Angeles,CA,https://www.linkedin.com/company/hexclad/
madeincookware.com,Made In Cookware,Austin,TX,https://www.linkedin.com/company/madeincookware/
misen.com,Misen,New York,NY,https://www.linkedin.com/company/misen/
burrow.com,Burrow,New York,NY,https://www.linkedin.com/company/burrow/
maidenhome.com,Maiden Home,New York,NY,https://www.linkedin.com/company/maiden-home/
fromourplace.com,Our Place,Los Angeles,CA,https://www.linkedin.com/company/from-our-place/
outdoorvoices.com,Outdoor Voices,Austin,TX,https://www.linkedin.com/company/outdoor-voices/
tenthousand.cc,Ten Thousand,New York,NY,https://www.linkedin.com/company/tenthousand/
halfdays.com,Halfdays,Denver,CO,https://www.linkedin.com/company/halfdays/
primary.com,Primary,New York,NY,https://www.linkedin.com/company/primary-com/
hillhousehome.com,Hill House Home,New York,NY,https://www.linkedin.com/company/hill-house-home/
drunkelephant.com,Drunk Elephant,Houston,TX,https://www.linkedin.com/company/drunk-elephant/
credobeauty.com,Credo Beauty,San Francisco,CA,https://www.linkedin.com/company/credo-beauty/
dibsbeauty.com,DIBS Beauty,Dallas,TX,https://www.linkedin.com/company/dibs-beauty/
odelebeauty.com,Odele Beauty,Minneapolis,MN,https://www.linkedin.com/company/odele-beauty/
otherland.com,Otherland,New York,NY,https://www.linkedin.com/company/otherlandcandles/
curology.com,Curology,San Diego,CA,https://www.linkedin.com/company/curology/
happyhead.com,Happy Head,San Diego,CA,https://www.linkedin.com/company/happyhead/
getmaude.com,Maude,New York,NY,https://www.linkedin.com/company/getmaude/
thrivemarket.com,Thrive Market,Los Angeles,CA,https://www.linkedin.com/company/thrive-market/
littlespoon.com,Little Spoon,New York,NY,https://www.linkedin.com/company/littlespoon/
kencko.com,kencko,New York,NY,https://www.linkedin.com/company/kencko/
drinkpartake.com,Partake Brewing,Brooklyn,NY,https://www.linkedin.com/company/partakebrewing/
auratenewyork.com,Aurate New York,New York,NY,https://www.linkedin.com/company/aurate-new-york/
