Lead Type,Case Study Reference,Industry Category,Account Name,Domain,Score,Tier,Reason for Inclusion,Pain Points / Signals,Budget Signal
Original Research,,SaaS - Fintech,Brex,brex.com,10,1,"Secured EU Payment Institution license in Aug 2025, expanding to all 30 EU countries. Planning UK expansion. Previously could only serve companies with US presence—now need to localize for European markets ASAP.","Scaling to 30 new countries simultaneously, need multilingual compliance docs, customer support in local languages","Eyes $500M revenue, IPO prep, dozen team members in Europe"
Original Research,,SaaS - Design,Canva,canva.com,10,1,"220M users in 100+ languages across 190 countries. Added 700K+ templates for non-English languages in 2024. Expanding AI to 16 languages. Deepening focus on India, Indonesia, Brazil in 2025.","Managing content at massive scale (2.3M local elements added in 6 months), maintaining brand consistency across 100+ languages","Massive scale, enterprise customers, ongoing localization partnership with RWS"
Original Research,,SaaS - HR/Payroll,Rippling,rippling.com,10,1,"DOUBLED EOR footprint from 40 to 80 countries in 2024-2025. Added native payroll in India, Singapore, Australia. 20K+ customers need global HR docs, compliance materials.","Localized compliance content for 80 countries, native payroll documentation, employee onboarding materials in local languages","$32B valuation (Nov 2025), rapid expansion"
Original Research,,SaaS - Productivity,Notion,notion.so,9,1,"100M users globally, 50%+ of Fortune 500 use it. Opened UK, Paris, Munich offices in 2024-2025. Launched localized Japanese product. EMEA has tens of millions of users.","Product localization beyond Japanese, European market templates/content, adapting to regional business practices","$10B+ valuation, aggressive EMEA hiring"
Original Research,,SaaS - Marketing,Klaviyo,klaviyo.com,9,1,"42% YoY international growth (Q1 2025). 34% of revenue from EMEA/APAC. Expanded to 7 languages, SMS in 19 countries. New co-CEO focused on global enterprise scaling.","Scaling marketing automation content across 7 languages, SMS compliance content for 19 markets, enterprise customer onboarding","$293M quarterly revenue, public company, Dublin office opening"
Original Research,,E-commerce - Marketplace,Faire,faire.com,9,1,"Expanded to 35 markets in 2025, adding New Zealand + 14 European countries. Europe growing 2x faster than North America. 100K brands, 700K retailers need multilingual marketplace.","Marketplace localization for 35 countries, seller/buyer communications in local languages, product descriptions at scale","European retailers spent $500M to date, 2M+ orders fulfilled"
Original Research,,SaaS - Design,Figma,figma.com,8,2,"85% of users outside US, 50% revenue from non-US markets. Localized for Spanish market in 2024, Japan before that. Planning additional languages throughout the year.","Product localization for design tool (UI-heavy), culturally adapted interfaces, community content translation","Adobe acquisition fell through, still valued at $20B"
Original Research,,Fintech - API,Plaid,plaid.com,8,2,"Operating in 20 countries, strong transatlantic expansion focus. Seeing renewed interest in US↔Europe expansion. 500M consumer accounts worldwide, 12K+ financial institutions.","Financial compliance documentation across 20 countries, developer documentation for global API users, regulatory content","$400M secondary raise expected, IPO prep"
Original Research,,SaaS - HR/Payroll,Gusto,gusto.com,8,2,"Launched Gusto Global (EOR) in 2025 for 120+ countries via Remote partnership. Started with Canada, India, Philippines. $500M ARR milestone.","HR/payroll content for 120 countries, employee onboarding materials, compliance docs, benefits explanations","$500M ARR, 33% growth rate, pricing at $599/employee/month"
Original Research,,SaaS - Marketing,Attentive,attentive.com,8,2,"UK/Australia revenue grew 125% YoY in 2024. $500M ARR reached. Delivers messages to 20+ countries. Actively expanding internationally.","SMS marketing compliance content for 20+ countries, customer success materials for UK/AU markets, product localization","$500M ARR, expanding international teams"
